district_code,avg_english_sat,avg_math_sat,avg_sat_total,avg_teacher_salary,district_name,expenditure_per_pupil,grad_rate,percent_enrolled_asian,percent_enrolled_black,percent_enrolled_female,percent_enrolled_latino,percent_enrolled_male,percent_enrolled_multiracial,percent_enrolled_other,percent_enrolled_white,state
601,507,471,979,60800.76,Appling County,7950.99,91.98,1.0,23.0,49.0,16.0,51.0,4.0,0.0,57.0,GA
602,497,455,952,57974.93,Atkinson County,10242.74,95.74,0.0,14.0,50.0,41.0,50.0,2.0,0.0,43.0,GA
603,482,444,926,55923.06,Bacon County,8763.19,92.86,0.0,19.0,50.0,16.0,50.0,3.0,0.0,61.0,GA
605,536,503,1040,56513.93,Baldwin County,6450.66,88.49,1.0,73.0,51.0,4.0,49.0,4.0,0.0,18.0,GA
606,515,486,1001,61917.97,Banks County,7796.87,84.08,1.0,2.0,49.0,11.0,51.0,3.0,0.0,84.0,GA
607,518,496,1014,52746.490000000005,Barrow County,6909.965,89.53666666666668,4.0,16.0,48.0,25.0,52.0,5.0,0.0,50.0,GA
608,484,446,931,64485.06333333333,Bartow County,7587.509999999999,94.6,1.0,5.0,49.0,9.0,51.0,4.0,0.0,81.0,GA
609,470,446,916,61452.35,Ben Hill County,9853.32,88.285,1.0,41.0,50.0,16.0,50.0,3.0,0.0,39.0,GA
610,470,446,916,56873.22,Berrien County,7810.4,85.24333333333334,0.0,14.0,48.0,10.0,52.0,2.0,0.0,73.0,GA
611,470,446,916,59367.22166666667,Bibb County,7863.248333333333,82.0625,4.0,67.0,49.0,7.0,51.0,5.0,0.0,17.0,GA
612,526,509,1035,61786.25,Bleckley County,8876.85,92.79,1.0,24.0,51.0,3.0,49.0,3.0,0.0,68.0,GA
613,488,459,947,56491.97,Brantley County,6564.05,88.84,0.0,3.0,50.0,4.0,50.0,2.0,0.0,90.0,GA
614,507,459,966,54781.05,Brooks County,8973.25,92.74666666666667,0.0,49.0,49.0,15.0,51.0,3.0,0.0,33.0,GA
615,490,476,966,64267.845,Bryan County,9006.49,91.5,3.0,16.0,49.0,12.0,51.0,7.0,0.0,62.0,GA
616,518,490,1007,59631.595,Bulloch County,3989.3766666666666,86.255,1.0,14.0,46.0,4.0,54.0,2.0,0.0,78.0,GA
617,581,544,1125,68568.19,Burke County,9321.93,85.49,0.0,60.0,50.0,4.0,50.0,3.0,0.0,32.0,GA
618,581,544,1125,62012.83,Butts County,7339.879999999999,93.12,0.0,32.0,50.0,6.0,50.0,5.0,0.0,57.0,GA
620,499,469,968,63626.22,Camden County,8954.58,94.28,2.0,22.0,48.0,9.0,52.0,9.0,0.0,59.0,GA
621,505,481,986,59421.08,Candler County,9698.61,94.14333333333333,1.0,32.0,49.0,22.0,51.0,2.0,0.0,44.0,GA
622,505,481,986,58786.052,Carroll County,44084.885,94.01666666666667,2.0,18.0,48.0,7.0,52.0,5.0,0.0,68.0,GA
623,505,481,986,60274.36666666667,Catoosa County,9242.019999999999,89.4825,2.0,2.0,47.0,4.0,53.0,3.0,0.0,90.0,GA
624,543,528,1072,65496.16,Charlton County,10645.720000000001,97.09,0.0,33.0,49.0,5.0,51.0,6.0,0.0,56.0,GA
625,543,528,1072,59521.00600000001,Savannah-Chatham County,7590.782000000001,87.38636363636364,0.0,85.0,55.0,5.0,45.0,5.0,0.0,5.0,GA
626,497,459,955,58793.83,Chattahoochee County,7461.320000000001,96.77,2.0,27.0,47.0,22.0,53.0,6.0,0.0,44.0,GA
628,497,459,955,66382.55666666667,Cherokee County,7471.488333333334,92.86125,1.0,2.0,48.0,9.0,52.0,2.0,0.0,85.0,GA
629,552,527,1079,60022.52666666667,Clarke County,11184.177500000002,74.0425,1.0,51.0,49.0,31.0,51.0,4.0,0.0,13.0,GA
631,552,527,1079,61032.676666666666,Clayton County,6060.514444444444,84.065,1.0,81.0,50.0,14.0,50.0,2.0,0.0,1.0,GA
632,555,534,1090,59071.95,Clinch County,9973.25,85.0,0.0,34.0,47.0,6.0,53.0,6.0,0.0,54.0,GA
633,555,534,1090,73150.57352941176,Cobb County,7453.467777777777,86.75055555555555,8.0,29.0,47.0,20.0,53.0,5.0,0.0,38.0,GA
634,500,475,976,57001.69,Coffee County,9729.83,94.55666666666667,1.0,30.0,49.0,22.0,51.0,2.0,0.0,45.0,GA
635,500,475,976,56820.13,Colquitt County,7345.895,87.8,1.0,26.0,47.0,32.0,53.0,2.0,0.0,38.0,GA
636,500,475,976,64736.806000000004,Columbia County,7178.017999999999,90.27833333333332,3.0,40.0,50.0,15.0,50.0,7.0,0.0,35.0,GA
637,456,430,886,58593.68,Cook County,9110.4,97.52,2.0,34.0,51.0,10.0,49.0,3.0,0.0,51.0,GA
638,456,430,886,64635.386666666665,Coweta County,7532.2266666666665,90.0275,4.0,15.0,48.0,12.0,52.0,5.0,0.0,64.0,GA
639,514,480,995,57337.15,Crawford County,10505.5,83.58,0.0,18.0,52.0,4.0,48.0,3.0,0.0,75.0,GA
640,506,495,1001,60367.74,Crisp County,7785.4,83.39,2.0,56.0,52.0,6.0,48.0,3.0,0.0,33.0,GA
641,523,496,1019,59311.8,Dade County,9152.56,91.46,1.0,1.0,49.0,4.0,51.0,2.0,0.0,92.0,GA
642,546,529,1076,68510.09,Dawson County,10243.14,93.91,1.0,1.0,47.0,11.0,53.0,2.0,0.0,84.0,GA
643,480,446,926,59897.57,Decatur County,8421.73,85.74666666666667,1.0,46.0,50.0,11.0,50.0,3.0,0.0,39.0,GA
644,493,481,974,69375.15090909091,DeKalb County,165260.9947826087,77.16833333333334,0.0,94.0,49.0,4.0,51.0,2.0,0.0,1.0,GA
645,535,517,1052,57458.1,Dodge County,7257.75,75.07333333333334,1.0,32.0,51.0,6.0,49.0,4.0,0.0,56.0,GA
646,535,517,1052,53305.45,Dooly County,10329.89,85.74000000000001,0.0,69.0,53.0,23.0,47.0,1.0,1.0,6.0,GA
647,535,517,1052,54636.87333333333,Dougherty County,6023.400000000001,87.0375,0.0,95.0,51.0,2.0,49.0,1.0,0.0,2.0,GA
648,535,517,1052,54196.266,Douglas County,7049.37,88.20166666666667,2.0,61.0,51.0,15.0,49.0,5.0,0.0,17.0,GA
649,532,500,1032,52915.96,Early County,10654.32,84.97,1.0,71.0,47.0,2.0,53.0,2.0,0.0,25.0,GA
650,507,464,971,53747.2,Echols County,7383.349999999999,96.0,0.0,4.0,55.0,43.0,45.0,2.0,1.0,49.0,GA
651,496,440,936,63353.285,Effingham County,5367.605,91.85666666666667,2.0,12.0,49.0,11.0,51.0,5.0,0.0,70.0,GA
652,542,536,1077,60388.3,Elbert County,8928.199999999999,87.22,1.0,33.0,50.0,11.0,50.0,3.0,0.0,52.0,GA
653,542,536,1077,58400.97,Emanuel County,7272.64,85.39333333333333,1.0,49.0,51.0,10.0,49.0,2.0,0.0,38.0,GA
654,542,536,1077,53188.07,Evans County,7481.5,92.515,1.0,30.0,49.0,25.0,51.0,2.0,0.0,42.0,GA
655,542,536,1077,63446.58,Fannin County,11328.210000000001,90.4,0.0,0.0,48.0,5.0,52.0,1.0,0.0,94.0,GA
656,542,536,1077,67396.38200000001,Fayette County,179525.93333333332,89.55166666666668,4.0,24.0,47.0,9.0,53.0,6.0,0.0,57.0,GA
657,542,536,1077,59074.72333333333,Floyd County,7342.07,91.618,0.0,9.0,48.0,9.0,52.0,2.0,0.0,79.0,GA
658,542,536,1077,64878.77714285714,Forsyth County,8628.602857142858,96.69624999999999,8.0,4.0,49.0,12.0,51.0,3.0,0.0,72.0,GA
659,470,414,884,60853.85,Franklin County,7631.92,90.27,2.0,9.0,50.0,9.0,50.0,4.0,0.0,76.0,GA
660,515,493,1008,65929.36823529413,Fulton County,10058.514117647059,82.947,12.0,11.0,50.0,15.0,50.0,3.0,0.0,59.0,GA
661,498,473,971,64813.48,Gilmer County,8350.73,94.01,0.0,0.0,50.0,30.0,50.0,1.0,0.0,68.0,GA
663,513,484,997,63864.98,Glynn County,7703.45,95.15666666666668,3.0,39.0,51.0,14.0,49.0,4.0,0.0,39.0,GA
664,534,516,1050,62009.884999999995,Gordon County,7939.035,96.03333333333335,1.0,2.0,49.0,11.0,51.0,2.0,0.0,84.0,GA
665,521,493,1013,54833.36,Grady County,6861.41,88.96,0.0,33.0,47.0,22.0,53.0,2.0,0.0,42.0,GA
666,521,493,1013,58643.51,Greene County,7428.46,89.56,1.0,71.0,47.0,18.0,53.0,2.0,0.0,9.0,GA
667,504,473,977,66244.9756521739,Gwinnett County,289699.99000000005,83.456,6.0,56.0,49.0,17.0,51.0,5.0,0.0,16.0,GA
668,503,472,975,62359.78,Habersham County,7976.62,98.70333333333333,3.0,2.0,49.0,33.0,51.0,3.0,0.0,59.0,GA
669,575,555,1130,58323.496666666666,Hall County,7473.728333333333,84.43,2.0,2.0,48.0,53.0,52.0,2.0,0.0,42.0,GA
670,547,535,1082,57172.51,Hancock County,9275.87,75.47,0.0,97.0,52.0,1.0,48.0,1.0,0.0,1.0,GA
671,531,507,1037,61865.52,Haralson County,9746.949999999999,98.11500000000001,0.0,2.0,49.0,4.0,51.0,3.0,0.0,90.0,GA
672,508,487,995,63783.17,Harris County,7216.04,90.7,1.0,14.0,47.0,7.0,53.0,5.0,0.0,73.0,GA
673,532,523,1056,63489.58,Hart County,8154.08,96.61,2.0,22.0,49.0,11.0,51.0,4.0,0.0,62.0,GA
674,558,518,1076,64878.07,Heard County,9353.77,95.665,1.0,10.0,47.0,2.0,53.0,4.0,0.0,83.0,GA
