district_code,avg_english_sat,avg_math_sat,avg_sat_total,avg_teacher_salary,expenditure_per_pupil,grad_rate,percent_enrolled_asian,percent_enrolled_black,percent_enrolled_female,percent_enrolled_latino,percent_enrolled_male,percent_enrolled_multiracial,percent_enrolled_other,percent_enrolled_white,state,student_total
010010010260000,467.7,445.8,913.5,40301.0,10838.08,92.9,0.0,0.0,44.42,0.0,55.58,4.6,0.0,94.6,IL,467.17
010010020260000,474.2,475.7,949.9,45070.0,14616.82,96.2,0.0,0.0,51.74,0.0,48.26,3.7,0.0,95.8,IL,596.69
010010030260000,474.9,468.6,943.5,50473.0,11743.41,83.6,0.0,0.0,46.94,0.0,53.06,2.0,0.0,96.5,IL,806.5
010010040260000,457.3,423.3,880.6,40921.0,9690.0,90.5,0.0,0.0,48.19,2.6,51.81,0.0,0.0,95.6,IL,660.65
010011720220000,472.8,440.9,913.7,47065.0,11650.49,83.1,0.8,8.0,48.24,3.7,51.76,10.6,0.0,76.5,IL,6308.73
010050010260000,501.5,479.4,980.9,48011.0,12921.98,68.3,0.0,0.0,48.53,3.0,51.47,1.5,0.0,93.9,IL,700.75
010090150260000,437.9,421.8,859.7,48529.0,11112.78,80.0,1.4,12.2,46.78,48.2,53.22,7.8,0.8,28.9,IL,1450.67
010090640260000,466.7,453.3,920.0,53015.0,11637.85,61.5,0.0,0.0,51.4,3.2,48.6,3.8,0.0,90.4,IL,318.0
010092620260000,512.5,477.9,990.4,41328.0,14505.3,91.2,0.0,0.0,48.84,0.0,51.16,0.0,0.0,95.5,IL,361.75
010690010260000,441.7,425.0,866.7,47876.0,14065.83,90.0,0.0,0.0,49.82,0.0,50.18,0.0,0.0,96.6,IL,298.5
010690060260000,503.9,518.9,1022.8,48178.0,15475.92,93.1,0.0,0.0,45.2,0.0,54.8,3.1,0.0,92.3,IL,343.5
010690110260000,469.0,419.0,888.0,42509.0,19693.4,61.5,0.0,0.0,47.78,0.0,52.22,6.2,0.0,93.8,IL,185.0
010690270260000,516.8,503.2,1020.0,41804.0,9356.78,83.3,0.0,0.0,45.71,2.9,54.29,0.0,0.0,94.7,IL,374.0
010691170220000,466.1,446.0,912.1,52902.0,13477.06,73.3,1.0,10.5,48.26,4.2,51.74,9.4,0.4,74.6,IL,3227.145
010750030260000,431.9,411.9,843.8,47406.0,13909.25,93.3,0.0,0.0,46.54,0.0,53.46,0.0,0.0,96.5,IL,347.5
010750040260000,470.7,447.9,918.5999999999999,44259.0,17423.7,82.6,0.0,0.0,47.94,0.0,52.06,0.0,0.0,98.4,IL,311.9
010750100260000,491.3,463.6,954.9000000000001,44478.0,9420.49,96.2,0.0,0.0,47.59,2.5,52.41,1.1,0.0,95.9,IL,1119.3
010750120260000,467.2,451.6,918.8,45182.0,12915.21,78.3,0.0,0.0,49.91,2.5,50.09,0.0,0.0,96.0,IL,502.8
010860010260000,480.0,457.0,937.0,45401.0,11682.17,94.6,0.0,0.0,50.87,0.0,49.13,0.0,0.0,97.6,IL,570.75
010860020260000,435.0,404.2,839.2,42339.0,10064.79,100.0,0.0,0.0,42.25,0.0,57.75,0.0,0.0,95.6,IL,194.5
030030010260000,437.4,439.1,876.5,48606.0,11998.44,87.5,0.0,0.0,52.26,0.0,47.74,4.2,0.0,93.1,IL,376.0
030030020260000,480.5,460.2,940.7,60525.0,12527.02,90.9,0.7,2.0,46.94,2.7,53.06,6.5,0.0,87.9,IL,1666.095
030110010260000,444.5,426.8,871.3,51036.0,12790.13,93.8,0.0,0.0,47.91,0.0,52.09,0.0,0.0,95.3,IL,291.5
030110030260000,479.4,452.6,932.0,56015.0,11881.12,84.4,0.7,1.0,49.43,2.2,50.57,4.2,0.0,91.9,IL,2183.235
030110040260000,448.9,398.1,847.0,46209.0,13972.16,78.9,0.0,0.0,45.49,0.0,54.51,4.9,0.0,93.8,IL,250.0
030110080260000,459.3,440.7,900.0,52179.0,13920.91,86.5,0.0,0.0,50.51,1.4,49.49,1.5,0.0,96.0,IL,1139.3
030110140240000,415.5,384.0,799.5,43369.0,11048.78,76.7,0.0,0.0,51.16,5.9,48.84,4.9,0.0,89.3,IL,302.0
030250100260000,474.2,462.0,936.2,50095.0,9891.84,91.2,0.0,0.0,49.4,1.9,50.6,1.5,0.0,95.5,IL,686.5
030250200260000,466.7,474.2,940.9,54568.0,12792.49,89.3,0.0,0.0,49.58,0.0,50.42,0.0,0.0,94.5,IL,336.0
030250300260000,491.1,483.9,975.0,49834.0,9411.57,93.5,0.0,0.0,47.78,0.0,52.22,1.9,0.0,96.1,IL,574.5
030250400260000,496.0,479.8,975.8,56643.0,9358.19,87.4,0.9,2.2,47.1,6.1,52.9,2.3,0.0,88.2,IL,2373.655
030250500260000,496.8,495.3,992.1,58391.0,8556.46,98.8,0.0,0.0,49.12,0.0,50.88,1.0,0.0,97.7,IL,1078.0
030262010260000,442.6,441.7,884.3,47473.0,8907.58,95.2,0.0,0.0,47.1,0.0,52.9,0.0,0.0,96.9,IL,328.0
030262020260000,454.4,442.3,896.7,52570.0,12064.04,81.5,0.0,0.0,50.0,0.0,50.0,0.0,0.0,97.1,IL,408.0
030262030260000,477.7,460.5,938.2,61367.0,19223.7,83.0,0.0,0.0,47.64,1.6,52.36,4.6,0.0,93.5,IL,1345.0
030262040260000,447.7,439.4,887.0999999999999,48477.0,12533.76,91.4,0.0,0.0,48.18,0.0,51.82,0.0,0.0,96.4,IL,424.0
030680020260000,483.4,457.8,941.2,53810.0,12461.07,97.1,0.0,0.0,51.69,3.8,48.31,0.0,0.0,93.0,IL,458.695
030680030260000,469.2,431.8,901.0,56325.0,36333.52,81.1,0.0,1.0,49.69,3.3,50.31,2.6,0.0,93.0,IL,1610.37
030680120260000,488.4,459.9,948.3,64918.0,13109.87,90.9,1.1,1.1,47.04,2.5,52.96,2.4,0.0,92.8,IL,1264.0
030680220260000,470.4,449.0,919.4,49784.0,14258.66,94.9,0.0,0.0,47.48,2.4,52.52,2.4,0.0,95.1,IL,599.9
040041000260000,460.3,435.1,895.4000000000001,65137.0,14072.93,80.0,0.7,3.0,47.72,42.1,52.28,3.6,0.3,50.3,IL,7387.25
040042000260000,456.0,446.4,902.4,61679.0,13776.02,89.2,0.0,1.0,47.35,28.5,52.65,7.4,0.0,62.5,IL,1525.8
041011220220000,462.4,443.4,905.8,67530.0,15040.17,81.4,1.4,6.7,47.35,14.9,52.65,8.2,0.4,68.4,IL,6276.77
041012050250000,441.9,421.6,863.5,63718.0,14376.98,65.6,4.0,31.3,48.82,30.3,51.18,7.5,0.30000000000000004,26.7,IL,27560.5
041012070160000,539.7,519.2,1058.9,81438.0,14398.38,87.9,2.9,1.9,49.6,11.0,50.4,4.2,0.0,79.8,IL,1917.245
