,district_code,avg_english_sat,avg_math_sat,avg_sat_total,avg_teacher_salary,expenditure_per_pupil,grad_rate,percent_enrolled_asian,percent_enrolled_black,percent_enrolled_female,percent_enrolled_latino,percent_enrolled_male,percent_enrolled_multiracial,percent_enrolled_other,percent_enrolled_white,state
0,4450000,527.0,512.0,1039.0,66422.0,16853.85,96.8,3.0,54.6,53.9,20.5,46.1,5.3,0.6,16.0,MA
1,10000,549.0,521.0,1070.0,92005.0,16143.23,92.5,2.7,5.2,49.0,12.3,50.9,2.1,0.6,77.1,MA
2,4120000,,,,67505.0,21216.47,98.2,0.4,61.0,48.0,30.0,52.0,1.6,0.2,6.9,MA
3,6000000,655.0,681.0,1336.0,91268.0,18957.61,97.0,33.4,3.0,48.4,7.0,51.4,5.2,0.2,51.2,MA
4,4300000,604.0,634.0,1238.0,72386.0,16675.46,98.6,14.4,2.0,46.1,7.3,53.5,6.4,0.0,69.9,MA
5,50000,549.0,538.0,1087.0,85887.0,19689.66,91.4,3.7,2.0,47.7,11.1,52.2,3.1,0.1,80.0,MA
6,70000,574.0,566.0,1140.0,86626.0,19883.64,89.7,1.2,1.4,47.1,9.2,52.8,4.5,0.2,83.5,MA
7,6050000,633.0,633.0,1266.0,84020.0,24555.36,94.2,8.6,8.0,47.2,17.9,52.4,8.0,0.0,57.6,MA
8,90000,611.0,619.0,1230.0,94627.0,20941.36,92.4,18.7,2.6,49.2,8.5,50.7,4.2,0.30000000000000004,65.8,MA
9,35090000,473.0,488.0,961.0,65775.0,16388.31,79.0,1.9,13.6,46.8,26.7,53.2,5.7,0.5,51.6,MA
10,100000,626.0,619.0,1245.0,83466.0,17933.78,95.1,12.9,3.4,49.5,6.5,50.1,7.6,0.1,69.6,MA
11,6100000,575.0,565.0,1140.0,74493.0,14920.21,95.4,0.9,1.3,48.3,6.1,51.2,3.2,0.1,88.3,MA
12,140000,593.0,610.0,1203.0,84499.0,16151.91,97.4,17.2,2.8,48.3,16.6,51.7,3.3,0.4,59.7,MA
13,8010000,534.0,511.0,1045.0,92929.0,20447.01,96.3,0.5,1.9,42.0,23.0,57.0,2.0,0.1,72.4,MA
14,6150000,495.0,516.0,1011.0,67691.0,16318.64,85.4,1.4,1.6,45.6,12.9,54.4,3.4,0.1,80.7,MA
15,4910000,441.0,418.0,859.0,49544.0,14406.56,90.9,2.0,6.2,54.0,15.5,46.0,4.4,0.2,71.7,MA
16,160000,549.0,533.0,1082.0,89550.0,15329.28,93.4,4.7,7.8,47.4,16.0,52.5,6.4,0.30000000000000004,64.8,MA
17,170000,553.0,542.0,1095.0,80268.0,15022.63,96.0,4.7,2.6,49.2,11.0,50.7,3.6,0.1,77.9,MA
